trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
1,2022-02-11,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-02-17-38500-PE,38500.0,SHORT,38480.0,9550.0,38532.4,10205.0,615.0,SQUARE OFF,1,132537.75,133152.75,2022-02-11 10:00:00,2022-02-11 12:00:00,2022,NSE-BANKNIFTY,38877.44,38032.88,26.2,1,1.0,1,11460.0,-334.95,,,,,,993.6,,neutral,True,,38500.0,PE,2022-02-17,6.0,382.0,408.2,11460.0,0.1
2,2022-03-04,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-03-10-34300-PE,34300.0,SHORT,34283.6,16778.75,34222.0,16008.75,-810.0,SQUARE OFF,1,133152.75,132342.75,2022-03-04 10:15:00,2022-03-04 12:00:00,2022,NSE-BANKNIFTY,34642.51,33879.82,-30.8,0,1.0,1,20134.5,-388.4,,,,,,897.28,,neutral,True,,34300.0,PE,2022-03-10,6.0,671.15,640.35,20134.5,0.1
3,2022-03-15,PRE-IS,VWAP_REV,NSE-BANKNIFTY-31Mar22-FUT,FUT,SHORT,35469.25,886731.25,34740.87,868521.75,18169.5,TARGET HIT,1,132342.75,150512.25,2022-03-15 11:30:00,2022-03-15 14:15:00,2022,NSE-BANKNIFTY,35954.84,34740.87,728.38,1,0.054,30,75000.0,9.0,,,,485.59,728.38,971.17,,neutral,True,0.027,,,,,,,,
4,2022-03-22,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-03-24-35600-PE,35600.0,SHORT,35565.6,11020.0,35672.1,12351.25,1291.25,SQUARE OFF,1,150512.25,151803.5,2022-03-22 10:00:00,2022-03-22 12:00:00,2022,NSE-BANKNIFTY,35905.48,35183.23,53.25,1,1.0,1,13224.0,-303.95,,,,,,849.71,,neutral,True,,35600.0,PE,2022-03-24,2.0,440.8,494.05,13224.0,0.1
5,2022-04-26,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-04-28-36600-CE,36600.0,LONG,36625.85,6767.5,36685.05,7507.5,700.0,SQUARE OFF,1,151803.5,152503.5,2022-04-26 11:45:00,2022-04-26 12:00:00,2022,NSE-BANKNIFTY,36353.52,36932.22,29.6,1,1.0,1,8121.0,338.2,,,,,,680.82,,neutral,True,,36600.0,CE,2022-04-28,2.0,270.7,300.3,8121.0,0.1
6,2022-04-29,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-05-05-36700-CE,36700.0,LONG,36703.0,8366.25,36792.5,9485.0,1078.75,SQUARE OFF,1,152503.5,153582.25,2022-04-29 11:30:00,2022-04-29 12:00:00,2022,NSE-BANKNIFTY,36459.67,36976.75,44.75,1,0.5833,1,10039.5,175.0,,,,,,608.32,,neutral,True,,36700.0,CE,2022-05-05,6.0,334.65,379.4,10039.5,0.1
7,2022-05-17,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-05-19-34000-CE,34000.0,LONG,33962.75,6960.0,34137.95,9150.0,2150.0,SQUARE OFF,1,153582.25,155732.25,2022-05-17 10:45:00,2022-05-17 12:00:00,2022,NSE-BANKNIFTY,33677.84,34283.28,87.6,1,0.3968,1,8352.0,119.05,,,,,,712.28,,neutral,True,,34000.0,CE,2022-05-19,2.0,278.4,366.0,8352.0,0.1
8,2022-05-20,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-05-26-34100-CE,34100.0,LONG,34069.8,11115.0,34030.6,10625.0,-530.0,SQUARE OFF,1,155732.25,155202.25,2022-05-20 10:00:00,2022-05-20 12:00:00,2022,NSE-BANKNIFTY,33775.06,34401.38,-19.6,0,1.0,1,13338.0,330.0,,,,,,736.84,,neutral,True,,34100.0,CE,2022-05-26,6.0,444.6,425.0,13338.0,0.1
9,2022-05-24,PRE-IS,VWAP_REV,NSE-BANKNIFTY-26May22-FUT,FUT,SHORT,34274.4,856860.0,34320.0,858000.0,-1180.0,SQUARE OFF,1,155202.25,154022.25,2022-05-24 13:00:00,2022-05-24 14:45:00,2022,NSE-BANKNIFTY,34646.31,33716.53,-45.6,0,0.4027,30,75000.0,46.05,,,,371.91,557.87,743.82,,neutral,True,0.201,,,,,,,,
10,2022-05-25,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-05-26-34700-CE,34700.0,LONG,34678.05,11092.5,34547.15,7820.0,-3312.5,SQUARE OFF,2,154022.25,150709.75,2022-05-25 11:00:00,2022-05-25 12:00:00,2022,NSE-BANKNIFTY,34400.75,34990.02,-65.45,0,0.5262,1,6655.5,157.85,,,,,,693.26,,neutral,True,,34700.0,CE,2022-05-26,1.0,221.85,156.4,6655.5,0.1
11,2022-05-27,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-06-02-35600-CE,35600.0,LONG,35619.9,9550.0,35607.5,9395.0,-195.0,SQUARE OFF,1,150709.75,150514.75,2022-05-27 10:30:00,2022-05-27 12:00:00,2022,NSE-BANKNIFTY,35344.81,35929.38,-6.2,0,0.4695,1,11460.0,140.85,,,,,,687.72,,neutral,True,,35600.0,CE,2022-06-02,6.0,382.0,375.8,11460.0,0.1
12,2022-06-07,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-06-09-35000-PE,35000.0,SHORT,35035.65,7486.25,35093.95,8215.0,688.75,SQUARE OFF,1,150514.75,151203.5,2022-06-07 11:00:00,2022-06-07 12:00:00,2022,NSE-BANKNIFTY,35258.04,34785.46,29.15,1,0.8862,1,8983.5,-265.85,,,,,,555.98,,neutral,True,,35000.0,PE,2022-06-09,2.0,299.45,328.6,8983.5,0.1
13,2022-06-08,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-06-09-35500-CE,35500.0,LONG,35480.0,11162.5,35658.6,22325.0,11122.5,TARGET HIT,5,151203.5,162326.0,2022-06-08 10:30:00,2022-06-08 10:45:00,2022,NSE-BANKNIFTY,35262.57,35724.61,89.3,1,0.3832,1,2679.0,114.95,,,,,,543.58,,neutral,True,,35500.0,CE,2022-06-09,1.0,89.3,178.6,2679.0,0.1
14,2022-06-10,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2022-06-16-34600-PE,34600.0,SHORT,34584.05,9216.25,34626.45,9746.25,490.0,SQUARE OFF,1,162326.0,162816.0,2022-06-10 11:15:00,2022-06-10 12:00:00,2022,NSE-BANKNIFTY,34800.06,34341.04,21.2,1,1.0,1,11059.5,-395.0,,,,,,540.02,,neutral,True,,34600.0,PE,2022-06-16,6.0,368.65,389.85,11059.5,0.1
