exit_ts,equity,drawdown_pct
2025-01-08 13:45:00,96176.55,3.823449999999997
2025-01-10 15:15:00,102162.05,0.0
2025-01-10 15:15:00,104072.05,0.0
2025-01-14 14:00:00,99441.3,4.449561625815961
2025-01-16 15:15:00,100529.3,3.404132041215677
2025-01-22 15:00:00,95824.15000000001,7.925182601860917
2025-01-23 15:15:00,96174.90000000001,7.588156474288719
2025-01-24 15:15:00,99412.40000000001,4.477330849156901
2025-01-27 15:15:00,99028.90000000001,4.8458255602729015
2025-01-28 15:15:00,101838.90000000001,2.1457730485754762
2025-01-29 15:15:00,99684.65000000001,4.215733234811839
2025-01-31 14:00:00,99988.95000000001,3.9233396478689437
2025-01-31 15:15:00,103204.15000000001,0.8339414857303129
2025-02-03 15:15:00,99426.95000000001,4.463350150208429
2025-02-03 15:15:00,97670.20000000001,6.151363406409302
2025-02-05 15:15:00,95494.20000000001,8.242222575609869
2025-02-07 12:00:00,92744.15000000001,10.884670764148485
2025-02-12 15:15:00,89149.90000000001,14.338287753532283
2025-02-13 15:15:00,94059.90000000001,9.620402403911516
2025-02-14 14:30:00,89714.75000000001,13.795538763769896
2025-02-17 10:30:00,85301.05000000002,18.036542952694777
2025-02-17 13:30:00,80560.35000000002,22.591752540667724
2025-02-17 13:30:00,75758.00000000001,27.206199935525426
2025-02-18 15:15:00,73796.50000000001,29.09095189342382
2025-02-18 15:15:00,72448.50000000001,30.386208400814617
2025-02-20 15:15:00,70798.25000000001,31.971888705949375
2025-02-25 15:15:00,70368.25000000001,32.38506400133368
2025-02-28 12:45:00,74920.50000000001,28.010930888744852
2025-02-28 13:00:00,79664.00000000001,23.453030856988008
2025-03-03 15:15:00,79054.00000000001,24.039163252765743
2025-03-05 15:15:00,78499.50000000001,24.5719672092555
2025-03-06 15:15:00,77080.25000000001,25.93568590221869
2025-03-06 15:15:00,75765.25000000001,27.19923360787069
2025-03-07 15:15:00,74714.25000000001,28.209110899612323
2025-03-10 14:30:00,79075.25000000001,24.018744706191516
2025-03-12 14:30:00,75734.80000000002,27.228492184020574
2025-03-17 15:15:00,75374.55000000002,27.574646603002424
2025-04-02 15:15:00,78084.05000000002,24.97116180569133
2025-04-03 15:15:00,79770.55000000002,23.350649862282893
2025-04-03 15:15:00,80270.55000000002,22.870213472301145
2025-04-04 13:30:00,77395.70000000001,25.632578583779207
