trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
1,2025-01-23,OOS,VWAP_REV,NSE-BANKNIFTY-30Jan25-FUT,FUT,SHORT,48808.0,7321200.0,48659.65,7298947.5,22212.5,SQUARE OFF,5,417164.87000000005,439377.37000000005,2025-01-23 10:45:00,2025-01-23 14:45:00,2025,NSE-BANKNIFTY,49209.69,48205.47,148.35,1,0.0586,30,75000.0,29.0,,,,401.69,602.53,803.37,,neutral,True,0.029,,,,,,,,
2,2025-01-24,OOS,VWAP_REV,NSE-BANKNIFTY-30Jan25-FUT,FUT,SHORT,48655.15,7298272.5,48364.8,7254720.0,43512.5,SQUARE OFF,5,439377.37000000005,482889.87000000005,2025-01-24 12:30:00,2025-01-24 14:45:00,2025,NSE-BANKNIFTY,49045.1,48070.22,290.35,1,0.054,30,75000.0,34.15,,,,389.95,584.93,779.9,,neutral,True,0.027,,,,,,,,
3,2025-01-29,OOS,ORB,NSE-BANKNIFTY-30Jan25-FUT,FUT,LONG,49031.9,7354785.0,49110.0,7366500.0,11675.0,SQUARE OFF,5,482889.87000000005,494564.87000000005,2025-01-29 10:15:00,2025-01-29 15:30:00,2025,NSE-BANKNIFTY,48741.24,49358.9,78.1,1,0.0784,30,75000.0,70.9,0.145,0.098,148.4,290.66,327.0,726.66,0.0,neutral,True,,,,,,,,,
4,2025-01-31,OOS,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49524.4,7428660.0,49858.95,7478842.5,-50222.5,STOP LOSS,5,494564.87000000005,444342.37000000005,2025-01-31 11:15:00,2025-01-31 12:30:00,2025,NSE-BANKNIFTY,49858.95,49022.58,-334.55,0,0.0133,30,75000.0,43.9,,,,334.55,501.82,669.09,,neutral,True,0.007,,,,,,,,
5,2025-02-01,OOS,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49719.05,7457857.5,50050.15,7507522.5,-49705.0,STOP LOSS,5,444342.37000000005,394637.37000000005,2025-02-01 11:45:00,2025-02-01 12:00:00,2025,NSE-BANKNIFTY,50050.15,49222.4,-331.1,0,0.9535,30,75000.0,37.1,,,,331.1,496.65,662.2,,neutral,True,0.477,,,,,,,,
6,2025-02-05,OOS,OPT_ORB,NSE-BANKNIFTY-2025-02-27-50600-CE,50600.0,LONG,50600.9,24874.5,50523.8,23718.0,-1196.5,SQUARE OFF,1,394637.37000000005,393440.87000000005,2025-02-05 10:00:00,2025-02-05 12:00:00,2025,NSE-BANKNIFTY,50329.99,50905.68,-38.55,0,0.3343,1,24874.5,100.3,,,,,,677.28,,neutral,True,,50600.0,CE,2025-02-27,22.0,829.15,790.6,24874.5,0.1
7,2025-02-07,OOS,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,LONG,50500.0,6060000.0,50204.51,6024541.2,-35498.8,STOP LOSS,4,393440.87000000005,357942.07000000007,2025-02-07 10:45:00,2025-02-07 13:45:00,2025,NSE-BANKNIFTY,50204.51,50943.23,-295.49,0,0.0,30,75000.0,0.85,,,,295.49,443.23,590.97,,neutral,True,0.0,,,,,,,,
8,2025-02-11,OOS,ORB,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49779.95,5973594.0,49535.45,5944254.0,29300.0,TARGET HIT,4,357942.07000000007,387242.07000000007,2025-02-11 10:00:00,2025-02-11 13:00:00,2025,NSE-BANKNIFTY,49997.29,49535.45,244.5,1,0.4227,30,75000.0,95.7,0.191,0.176,305.05,217.34,244.5,543.34,0.0,neutral,True,,,,,,,,,
9,2025-02-12,OOS,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,LONG,49276.1,5913132.0,49699.27,5963912.4,50740.4,TARGET HIT,4,387242.07000000007,437982.4700000001,2025-02-12 10:45:00,2025-02-12 12:30:00,2025,NSE-BANKNIFTY,48993.99,49699.27,423.17,1,0.119,30,75000.0,15.0,,,,282.11,423.17,564.23,,neutral,True,0.06,,,,,,,,
10,2025-02-21,OOS,OPT_ORB,NSE-BANKNIFTY-2025-02-27-48900-PE,48900.0,SHORT,48927.35,43200.0,48899.45,41526.0,-1714.0,SQUARE OFF,4,437982.4700000001,436268.4700000001,2025-02-21 10:00:00,2025-02-21 12:00:00,2025,NSE-BANKNIFTY,49167.57,48657.11,-13.95,0,0.403,1,10800.0,-120.9,,,,,,600.54,,neutral,True,,48900.0,PE,2025-02-27,6.0,360.0,346.05,10800.0,0.1
