trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
1,2021-01-22,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2021-01-28-31800-PE,31800.0,SHORT,31780.0,8196.25,32050.2,11573.75,3337.5,SQUARE OFF,1,100000.0,103337.5,2021-01-22 10:15:00,2021-01-22 12:00:00,2021,NSE-BANKNIFTY,31999.53,31533.03,135.1,1,0.3993,1,9835.5,-119.8,,,,,,548.81,,neutral,True,,31800.0,PE,2021-01-28,6.0,327.85,462.95,9835.5,0.1
2,2021-01-27,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Jan21-FUT,FUT,LONG,31110.0,777750.0,30824.42,770610.5,-7179.5,STOP LOSS,1,103337.5,96158.0,2021-01-27 11:00:00,2021-01-27 11:45:00,2021,NSE-BANKNIFTY,30824.42,31538.37,-285.58,0,0.8585,30,75000.0,22.65,,,,285.58,428.37,571.16,,neutral,True,0.429,,,,,,,,
3,2021-02-10,PRE-IS,VWAP_REV,NSE-BANKNIFTY-25Feb21-FUT,FUT,LONG,35993.05,899826.25,35661.0,891525.0,-8341.25,SQUARE OFF,1,96158.0,87816.75,2021-02-10 11:15:00,2021-02-10 14:45:00,2021,NSE-BANKNIFTY,35485.91,36753.75,-332.05,0,0.3275,30,75000.0,38.0,,,,507.14,760.7,1014.27,,neutral,True,0.164,,,,,,,,
4,2021-03-03,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2021-03-04-35900-CE,35900.0,LONG,35918.8,7850.0,36046.4,9445.0,1555.0,SQUARE OFF,1,87816.75,89371.75,2021-03-03 10:00:00,2021-03-03 12:00:00,2021,NSE-BANKNIFTY,35585.91,36293.3,63.8,1,0.8193,1,9420.0,245.8,,,,,,832.23,,neutral,True,,35900.0,CE,2021-03-04,1.0,314.0,377.8,9420.0,0.1
5,2021-03-09,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2021-03-10-36100-CE,36100.0,LONG,36060.0,4975.0,36207.3,6816.25,1801.25,SQUARE OFF,1,89371.75,91173.0,2021-03-09 11:30:00,2021-03-09 12:00:00,2021,NSE-BANKNIFTY,35720.15,36442.33,73.65,1,1.0,1,5970.0,300.35,,,,,,849.62,,neutral,True,,36100.0,CE,2021-03-10,1.0,199.0,272.65,5970.0,0.1
6,2021-03-17,PRE-IS,VWAP_REV,NSE-BANKNIFTY-25Mar21-FUT,FUT,SHORT,34871.85,871796.25,34625.0,865625.0,6131.25,SQUARE OFF,1,91173.0,97304.25,2021-03-17 12:00:00,2021-03-17 14:45:00,2021,NSE-BANKNIFTY,35292.66,34240.64,246.85,1,0.1201,30,75000.0,30.0,,,,420.81,631.21,841.61,,neutral,True,0.06,,,,,,,,
7,2021-03-23,PRE-IS,VWAP_REV,NSE-BANKNIFTY-25Mar21-FUT,FUT,SHORT,33800.2,845005.0,34236.21,855905.25,-10940.25,STOP LOSS,1,97304.25,86364.0,2021-03-23 11:30:00,2021-03-23 14:15:00,2021,NSE-BANKNIFTY,34236.21,33146.18,-436.01,0,0.9701,30,75000.0,25.05,,,,436.01,654.02,872.03,,neutral,True,0.485,,,,,,,,
8,2021-03-30,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2021-04-01-34100-CE,34100.0,LONG,34076.25,8175.0,34035.35,7663.75,-551.25,SQUARE OFF,1,86364.0,85812.75,2021-03-30 10:00:00,2021-03-30 12:00:00,2021,NSE-BANKNIFTY,33729.09,34466.8,-20.45,0,0.6508,1,9810.0,195.25,,,,,,867.89,,neutral,True,,34100.0,CE,2021-04-01,2.0,327.0,306.55,9810.0,0.1
9,2021-03-31,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2021-04-01-33500-PE,33500.0,SHORT,33538.05,8455.0,33730.25,10857.5,2362.5,SQUARE OFF,1,85812.75,88175.25,2021-03-31 10:15:00,2021-03-31 12:00:00,2021,NSE-BANKNIFTY,33876.57,33157.21,96.1,1,0.4678,1,10146.0,-140.35,,,,,,846.31,,neutral,True,,33500.0,PE,2021-04-01,1.0,338.2,434.3,10146.0,0.1
10,2021-04-13,PRE-IS,VWAP_REV,NSE-BANKNIFTY-29Apr21-FUT,FUT,SHORT,31163.65,779091.25,31603.56,790089.0,-11037.75,STOP LOSS,1,88175.25,77137.5,2021-04-13 11:30:00,2021-04-13 13:45:00,2021,NSE-BANKNIFTY,31603.56,30503.79,-439.91,0,0.3632,30,75000.0,47.15,,,,439.91,659.86,879.81,,neutral,True,0.182,,,,,,,,
