date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct
2026-01-27,2026-01-27 11:15:00,2026-01-28 09:15:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,58630.6,59750.0,57999.91,59770.0,1059.4,31742.0,1,CONTRACT ROLL,1.0,30,75000,300.0,630.69,1139.4,60420.0,59360.0,59770.0,991.8,full,,0,neutral,True,0.5,-2.89,0.45
2026-03-02,2026-03-02 11:00:00,2026-03-02 12:30:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,60253.2,60068.8,59961.0,61250.0,-244.4,-7372.0,0,TRAIL STOP,1.0,30,75000,300.0,292.2,996.8,61620.0,60840.0,61250.0,699.0,full,,0,neutral,True,1.0,-0.48,0.9
2026-03-04,2026-03-04 13:00:00,2026-03-05 11:45:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,59090.0,59102.53,58485.51,61250.0,-47.47,-1464.0,0,TRAIL STOP,1.0,30,75000,634.53,604.49,2160.0,61660.0,60100.0,61250.0,1253.6,full,,1,neutral,True,0.5,-1.57,0.45
2026-04-15,2026-04-15 11:00:00,2026-04-15 14:30:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,56282.0,56420.0,57425.92,55970.0,-198.0,-5980.0,0,EARLY CUT,0.6125,30,75000,1126.53,1143.92,312.0,56060.0,55040.0,55970.0,690.0,sub,2026-04-08,0,neutral,True,0.5,5.41,0.45
2026-05-05,2026-05-05 11:00:00,2026-05-05 11:15:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,54645.0,54645.0,54345.0,54790.0,-60.0,-1840.0,0,BREAKEVEN,0.3167,30,75000,300.0,300.0,145.0,55760.0,54620.0,54790.0,95.0,full,,0,neutral,True,0.5,-1.91,0.45
2026-05-05,2026-05-05 12:00:00,2026-05-05 12:15:00,2026,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,54577.0,54577.0,54250.0,54790.0,-60.0,-1840.0,0,BREAKEVEN,0.3667,30,75000,300.0,327.0,213.0,55760.0,54540.0,54790.0,110.0,full,,0,neutral,True,0.5,-1.91,0.45
