date,year,direction,pnl_pts,win,exit_reason,ema_gap_pct,ema_slope_signed,ema_consistency,atr_ratio,atr_v,body_atr,rsi_signed,rsi_v,pat_stack,entry_hour,dow,_q,_hr
2022-01-06,2022,1,212.63571428571595,1,TARGET,0.8301868983418744,0.5208249809042352,19,1.2273725223414482,141.75714285714326,0.4793409251234287,-8.502321682386878,41.49767831761312,2,9.75,3,"(0.999, 3.0]",09:45
2022-01-06,2022,1,208.39821428571304,1,TARGET,0.6850067050356803,0.3740511490978241,21,1.1932273054920852,138.93214285714308,0.25408087195703966,-8.090734610872389,41.90926538912761,1,10.25,3,"(0.999, 3.0]",10:15
2022-01-06,2022,1,210.33214285714348,1,TARGET,0.49695080962660354,0.15962148036505241,24,1.1911111111111103,140.22142857142848,0.4788854362996888,-8.101046067361153,41.89895393263885,2,11.0,3,"(0.999, 3.0]",11:00
2022-01-06,2022,1,202.6660714285681,1,TARGET,0.4196591559437737,0.0564138984511075,26,1.1228481538644126,135.11071428571344,1.0143533081335152,-2.0145989342875126,47.98540106571249,2,11.5,3,"(0.999, 3.0]",11:30
2022-01-06,2022,1,192.6803571428536,1,TARGET,0.2892943543754347,0.0320863960219658,30,1.051174888940846,128.4535714285708,0.7457947563044165,-2.145131584719472,47.85486841528053,2,12.75,3,"(0.999, 3.0]",12:45
2022-01-06,2022,1,134.9517857142855,1,TARGET,0.2782345858921443,0.07057743063729649,30,0.741773531013963,89.96785714285632,0.4790599817394984,3.0633669736089644,53.063366973608964,1,13.25,3,"(0.999, 3.0]",13:15
2022-01-07,2022,1,-151.62142857143044,0,STOP,0.3419042981286573,0.1143578321718154,30,1.123850114492197,151.62142857142837,0.1427898431243326,2.219643701425184,52.219643701425184,1,14.0,4,"(0.999, 3.0]",14:00
2022-01-10,2022,1,-151.48214285714494,0,STOP,0.3766406210482327,0.20866073507047286,30,1.0737838761534673,151.48214285714337,0.5155723211128025,20.35491619483284,70.35491619483284,1,10.0,0,"(0.999, 3.0]",10:00
2022-01-10,2022,1,-149.221428571429,0,STOP,0.5047912149949776,0.40512237693939995,30,1.005825710158891,149.2214285714295,0.1839548130773811,14.770966097535478,64.77096609753548,1,11.0,0,"(0.999, 3.0]",11:00
2022-01-10,2022,1,203.97857142857538,1,TARGET,0.5124627674722034,0.4699098820435033,30,0.9166104959075654,135.985714285715,0.213625380817333,9.537966778389574,59.537966778389574,1,11.75,0,"(0.999, 3.0]",11:45
2022-01-10,2022,1,148.06071428571886,1,TARGET,0.5031737210612081,0.35120868711886755,30,0.6653346172364075,98.707142857144,0.357117012808448,9.624846672674458,59.62484667267446,1,13.25,0,"(0.999, 3.0]",13:15
2022-01-10,2022,1,112.35000000000582,0,SQUAREOFF,0.5103310231834347,0.33614516321259125,30,0.5944872412132929,88.1964285714291,0.07880137679688899,12.940244514215927,62.94024451421593,1,14.25,0,"(0.999, 3.0]",14:15
2022-01-11,2022,1,168.2357142857145,1,TARGET,0.4323010453789103,0.2650749205064496,30,0.7559942224362095,112.15714285714317,0.7890714558654927,10.010464247942679,60.01046424794268,1,11.25,1,"(0.999, 3.0]",11:15
