date,side,strike,expiry,dte,entry_ts,entry_px,exit_ts,exit_px,exit_reason,pnl_pts,pnl_inr,pnl_pct,mult,oi_velocity,otm_pct,day_dir,dir_note,opt_symbol
2025-09-30,CE,25200,2025-09-30,0,2025-09-30 14:46:00,0.3,2025-09-30 15:28:00,0.1,EOD,-0.2,-13.0,-66.7,0.33,11498.0,1.95,1,short_cover p=+8 oi=-129,NSE-NIFTY-30Sep25-25200-CE
2025-10-28,CE,26500,2025-10-28,0,2025-10-28 14:38:00,0.5,2025-10-28 15:28:00,0.05,EOD,-0.45,-29.25,-90.0,0.1,17740.0,1.81,1,short_cover p=+6 oi=-55,NSE-NIFTY-28Oct25-26500-CE
2025-11-25,PE,25500,2025-11-25,0,2025-11-25 14:35:00,0.25,2025-11-25 15:28:00,0.05,EOD,-0.2,-13.0,-80.0,0.2,11907.0,1.73,-1,long_unwind p=-36 oi=-417,NSE-NIFTY-25Nov25-25500-PE
2026-02-24,CE,26000,2026-02-24,0,2026-02-24 15:03:00,0.15,2026-02-24 15:28:00,0.05,EOD,-0.1,-6.5,-66.7,0.33,10557.0,1.59,1,long_buildup p=+8 oi=+2,NSE-NIFTY-24Feb26-26000-CE
2026-04-28,PE,23500,2026-04-28,0,2026-04-28 15:05:00,0.05,2026-04-28 15:28:00,0.05,EOD,0.0,0.0,0.0,1.0,11262.0,2.16,-1,short_buildup p=-7 oi=+64,NSE-NIFTY-28Apr26-23500-PE
