trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2025-11-03,orb,0.628,0,-0.042,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25875.0,-0.5,0.1,25888.0,25800.0
2025-11-04,orb,0.651,0,-0.673,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25864.5,-0.12,-0.6,25911.0,25815.0
2025-11-06,orb,0.655,0,-0.085,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25740.0,-2.14,-0.41,25804.4,25723.1
2025-11-07,orb,0.644,0,-0.071,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25544.9,-1.54,0.21,25544.9,25428.1
2025-11-10,orb,0.634,0,-0.19,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25629.4,-1.17,0.25,25693.4,25621.0
2025-11-11,orb,0.633,0,-0.179,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25726.5,-0.8,0.31,25738.1,25594.0
2025-11-12,orb,0.633,0,-0.305,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25930.0,0.52,0.19,25969.0,25902.2
2025-11-13,orb,0.616,0,-0.423,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25969.0,1.33,-0.07,25979.3,25900.0
2025-11-14,orb,0.584,0,0.178,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25883.0,1.35,0.3,25980.3,25855.4
2025-11-17,orb,0.561,0,-0.158,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26006.0,1.07,0.22,26050.2,25971.0
2025-11-18,orb,0.57,0,-0.719,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26019.9,0.89,-0.3,26023.9,25965.0
2025-11-19,orb,0.562,0,-0.185,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25949.4,-0.17,0.46,25951.6,25887.8
2025-11-20,orb,0.572,0,-0.218,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26122.4,0.49,0.39,26144.0,26072.5
2025-11-21,orb,0.589,0,-0.457,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26149.9,1.02,-0.27,26188.9,26117.6
2025-11-24,orb,0.584,0,-0.252,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26131.1,0.05,-0.54,26144.0,26085.0
