trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-03-24,1,1,1,0.5487,6.0,22700.0,CE,11:14,12:23,TP,84.1,173.8,89.7,6727.5,WIN_TP,1.0,1.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.45,-0.467,1,-4.53,True,24000,22000,0.845,-1,-1,22836.0,"short_cover p=+9 oi=-460 | contango fut=22686 spot=22513 basis=+0.75% | bullish_pcr pcr=0.84 ma=0.99 | put_writing_dominant atm_net_vel=22.8 ce=27.8 pe=50.6 | lower_range_bullish ltp=22686 call=24000 put=22000 pos=0.34 | FII_RT [classifier=FII_BEAR conf=0.45, oi_vel_conflicts net=25.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-25,0,0,1,-0.1239,5.0,,,,,,,,,,NO_TRADE,-1.0,1.0,0.0,-1.0,1.0,1.0,True,FII_BULL,0.121,0.066,6,-3.64,True,24000,22900,1.017,-1,-1,23077.3,"long_unwind p=-24 oi=+0 | contango fut=23277 spot=22912 basis=+1.46% | neutral_pcr pcr=1.02 ma=0.97 | call_writing_dominant atm_net_vel=-44.0 ce=-8.4 pe=-52.3 | lower_range_bullish ltp=23277 call=24000 put=22900 pos=0.34 | FII_RT [classifier=FII_BULL conf=0.12, oi_vel_conflicts net=-62.1] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-27,0,0,-1,-0.2035,5.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,-1.0,0.0,1.0,-1.0,True,FII_BEAR,0.07,-0.002,4,1.32,False,24000,23000,1.209,-1,-1,23159.9,"short_buildup p=-4 oi=+161 | backwardation fut=22817 spot=23306 basis=-2.19% | bearish_pcr pcr=1.21 ma=0.98 | velocity_short_suppressed_backwardation basis=-2.10% atm_net_vel=-39.6 ce=-49.5 pe=-89.1 | near_put_wall ltp=22817 call=24000 put=23000 pos=-0.18 | FII_RT [classifier=FII_BEAR conf=0.07, oi_vel_confirms net=-61.6] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-30,0,0,-1,-0.2693,4.0,,,,,,,,,,NO_TRADE,1.0,-1.0,0.0,0.0,1.0,-1.0,True,FII_BEAR,0.855,-0.77,1,-1.28,False,24000,22000,0.938,-1,-1,22613.0,"short_cover p=+4 oi=-297 | backwardation fut=22324 spot=22820 basis=-2.19% | neutral_pcr pcr=0.94 ma=0.99 | velocity_short_suppressed_backwardation basis=-2.17% atm_net_vel=-93.1 ce=-124.9 pe=-218.0 | lower_range_bullish ltp=22324 call=24000 put=22000 pos=0.16 | FII_RT [classifier=FII_BEAR conf=0.85, oi_vel_confirms net=-227.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-01,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,6,-0.81,False,23000,22300,0.825,-1,0,22851.9,
2026-04-02,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,5,-1.02,False,23000,21000,0.93,-1,-1,22457.8,
2026-04-06,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-2.55,False,24000,22000,1.093,-1,-1,22775.6,
2026-04-07,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,0.65,False,24000,22000,1.222,-1,-1,22879.3,
2026-04-08,0,0,1,0.2356,6.0,,,,,,,,,,NO_TRADE,1.0,1.0,-1.0,1.0,-1.0,-1.0,True,FII_BEAR,0.087,-0.045,6,3.55,True,24000,23100,1.265,-1,-1,23859.9,"long_buildup p=+4 oi=+68 | contango fut=24054 spot=23124 basis=+3.89% | bearish_pcr pcr=1.26 ma=1.07 | put_writing_dominant atm_net_vel=18.8 ce=-47.5 pe=-28.7 | near_call_wall ltp=24054 call=24000 put=23100 pos=1.06 | FII_RT [classifier=FII_BEAR conf=0.09, oi_vel_conflicts net=26.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-09,0,0,-1,-0.0748,5.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,-1.0,1.0,0.0,-1.0,True,FII_BEAR,0.272,-0.315,5,5.81,True,25000,23000,1.127,-1,-1,23959.9,"short_buildup p=-5 oi=+5 | backwardation fut=23860 spot=23997 basis=-0.68% | bearish_pcr pcr=1.13 ma=1.13 | put_writing_dominant atm_net_vel=20.2 ce=-27.9 pe=-7.7 | mid_range ltp=23860 call=25000 put=23000 pos=0.43 | FII_RT [classifier=FII_BEAR conf=0.27, oi_vel_conflicts net=33.4] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
