trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-03-24,1,1,1,0.6462,6,22700.0,CE,11:14,12:23,TP,84.1,173.8,89.7,5830.5,WIN_TP,1,1,1,1,1,1,True,FII_BULL,0.47,0.449,1,-4.53,True,24000.0,22000.0,0.845,-1,-1,22836.0,"short_cover p=+9 oi=-460 | contango fut=22686 spot=22513 basis=+0.75% | bullish_pcr pcr=0.84 ma=0.99 | put_writing_dominant atm_net_vel=22.8 ce=27.8 pe=50.6 | lower_range_bullish ltp=22686 call=24000 put=22000 pos=0.34 | FII_RT [classifier=FII_BULL conf=0.47, oi_vel_confirms net=25.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-25,0,0,1,-0.0997,5,,,,,,,,,,NO_TRADE,-1,1,0,-1,1,1,True,FII_BULL,0.463,0.443,6,-3.64,True,24000.0,22900.0,1.017,-1,-1,23077.3,"long_unwind p=-24 oi=+0 | contango fut=23277 spot=22912 basis=+1.46% | neutral_pcr pcr=1.02 ma=0.97 | call_writing_dominant atm_net_vel=-44.0 ce=-8.4 pe=-52.3 | lower_range_bullish ltp=23277 call=24000 put=22900 pos=0.34 | FII_RT [classifier=FII_BULL conf=0.46, oi_vel_conflicts net=-62.1] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-27,0,0,-1,-0.1808,5,,,,,,,,,,NO_TRADE,-1,-1,-1,0,1,1,True,FII_BULL,0.108,0.021,4,1.32,False,24000.0,23000.0,1.209,-1,-1,23159.9,"short_buildup p=-4 oi=+161 | backwardation fut=22817 spot=23306 basis=-2.19% | bearish_pcr pcr=1.21 ma=0.98 | velocity_short_suppressed_backwardation basis=-2.10% atm_net_vel=-39.6 ce=-49.5 pe=-89.1 | near_put_wall ltp=22817 call=24000 put=23000 pos=-0.18 | FII_RT [classifier=FII_BULL conf=0.11, oi_vel_conflicts net=-61.6] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-30,1,-1,-1,0.4562,5,22600.0,CE,12:40,12:53,SL,62.5,28.65,-33.85,-2200.25,LOSS_SL,1,-1,0,1,1,1,True,FII_BULL,0.285,0.257,1,-1.28,False,24000.0,22000.0,0.938,-1,-1,22613.0,"long_buildup p=+67 oi=+83 | backwardation fut=22575 spot=22820 basis=-1.09% | neutral_pcr pcr=0.94 ma=0.99 | put_writing_dominant atm_net_vel=75.9 ce=-33.7 pe=42.2 | lower_range_bullish ltp=22575 call=24000 put=22000 pos=0.29 | FII_RT [classifier=FII_BULL conf=0.29, oi_vel_confirms net=109.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-01,1,-1,-1,0.384,5,22950.0,CE,12:08,15:20,EOD,260.25,200.65,-59.6,-3874.0,LOSS_EOD,1,1,1,0,-1,1,True,FII_BULL,0.705,0.654,6,-0.81,False,23000.0,22300.0,0.825,-1,0,22851.9,"short_cover p=+32 oi=-196 | contango fut=22952 spot=22331 basis=+2.65% | bullish_pcr pcr=0.82 ma=0.97 | balanced atm_net_vel=1.5 ce=0.3 pe=1.8 | near_call_wall ltp=22952 call=23000 put=22300 pos=0.93 | FII_RT [classifier=FII_BULL conf=0.71, oi_vel_confirms net=6.9] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-02,0,0,1,-0.2554,3,,,,,,,,,,NO_TRADE,-1,0,0,0,-1,1,True,FII_BULL,0.22,0.182,5,-1.02,False,23000.0,21000.0,0.93,-1,-1,22457.8,short_buildup p=-42 oi=+148 | neutral fut=22758 spot=22679 basis=+0.24% | neutral_pcr pcr=0.93 ma=0.98 | balanced atm_net_vel=-1.0 ce=-15.0 pe=-16.1 | near_call_wall ltp=22758 call=23000 put=21000 pos=0.88 | FII_RT [classifier=FII_BULL conf=0.22] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-04-06,0,0,1,0.4968,4,,,,,,,,,,NO_TRADE,-1,1,0,1,0,1,True,FII_BULL,0.183,0.128,1,-2.55,False,24000.0,22000.0,1.093,-1,-1,22775.6,"short_buildup p=-19 oi=+57 | contango fut=23065 spot=22713 basis=+1.53% | neutral_pcr pcr=1.09 ma=1.00 | put_writing_dominant atm_net_vel=34.2 ce=-85.0 pe=-50.9 | mid_range ltp=23065 call=24000 put=22000 pos=0.53 | FII_RT [classifier=FII_BULL conf=0.18, oi_vel_confirms net=68.5] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-07,0,0,1,0.421,5,,,,,,,,,,NO_TRADE,1,1,-1,1,0,-1,True,FII_BEAR,0.218,-0.171,1,0.65,False,24000.0,22000.0,1.222,-1,-1,22879.3,"short_cover p=+9 oi=-36 | contango fut=23149 spot=22968 basis=+0.76% | bearish_pcr pcr=1.22 ma=1.00 | put_writing_dominant atm_net_vel=224.7 ce=-252.6 pe=-27.9 | mid_range ltp=23149 call=24000 put=22000 pos=0.57 | FII_RT [classifier=FII_BEAR conf=0.22, oi_vel_conflicts net=395.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-08,0,0,1,0.2981,6,,,,,,,,,,NO_TRADE,1,1,-1,1,-1,1,True,FII_BULL,0.382,0.363,6,3.55,True,24000.0,23100.0,1.265,-1,-1,23859.9,"long_buildup p=+4 oi=+68 | contango fut=24054 spot=23124 basis=+3.89% | bearish_pcr pcr=1.26 ma=1.07 | put_writing_dominant atm_net_vel=18.8 ce=-47.5 pe=-28.7 | near_call_wall ltp=24054 call=24000 put=23100 pos=1.06 | FII_RT [classifier=FII_BULL conf=0.38, oi_vel_confirms net=26.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-04-09,0,0,-1,0.0621,5,,,,,,,,,,NO_TRADE,-1,-1,-1,1,0,1,True,FII_BULL,0.684,0.636,5,5.81,True,25000.0,23000.0,1.127,-1,-1,23959.9,"short_buildup p=-5 oi=+5 | backwardation fut=23860 spot=23997 basis=-0.68% | bearish_pcr pcr=1.13 ma=1.13 | put_writing_dominant atm_net_vel=20.2 ce=-27.9 pe=-7.7 | mid_range ltp=23860 call=25000 put=23000 pos=0.43 | FII_RT [classifier=FII_BULL conf=0.68, oi_vel_confirms net=33.4] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
